,0
0,-9.019946602378264
1,-9.019946602378264
2,-9.019946602378264
3,-9.019946602378264
4,-9.019946602378264
5,-9.019946602378264
6,-9.019946602378264
7,-9.019946602378264
8,-9.019946602378264
9,-9.019946602378264
10,-9.019946602378264
11,-9.019946602378264
12,-9.019946602378264
13,-9.019946602378264
14,-9.019946602378264
15,-9.019946602378264
16,-9.019946602378264
17,-9.019946602378264
18,-9.019946602378264
19,-9.019946602378264
20,-9.019946602378264
21,-9.019946602378264
22,-9.019946602378264
23,-9.019946602378264
24,-9.019946602378264
25,-9.019946602378264
26,-9.019946602378264
27,-9.019946602378264
28,-9.019946602378264
29,-9.019946602378264
30,-9.019946602378264
31,-9.019946602378264
32,-9.019946602378264
33,-9.019946602378264
34,-9.019946602378264
35,-9.019946602378264
36,-9.019946602378264
37,-9.019946602378264
38,-9.019946602378264
39,-9.019946602378264
40,-9.019946602378264
41,-9.019946602378264
42,-9.019946602378264
43,-9.019946602378264
44,-9.019946602378264
45,-9.019946602378264
46,-9.019946602378264
47,-9.019946602378264
48,-9.019946602378264
49,-9.019946602378264
50,-9.019946602378264
51,-9.019946602378264
52,-9.019946602378264
53,-9.019946602378264
54,-9.019946602378264
55,-9.019946602378264
56,-9.019946602378264
57,-9.019946602378264
58,-9.019946602378264
59,-9.019946602378264
60,-9.019946602378264
61,-9.019946602378264
62,-9.019946602378264
63,-9.019946602378264
64,-11.445874300581846
65,-11.445874300581846
66,-11.445874300581846
67,-11.445874300581846
68,-11.445874300581846
69,-11.445874300581846
70,-11.445874300581846
71,-11.445874300581846
72,-11.445874300581846
73,-11.445874300581846
74,-11.445874300581846
75,-11.445874300581846
76,-11.445874300581846
77,-11.445874300581846
78,-11.445874300581846
79,-11.445874300581846
80,-11.445874300581846
81,-11.445874300581846
82,-11.445874300581846
83,-11.445874300581846
84,-11.445874300581846
85,-11.445874300581846
86,-11.445874300581846
87,-11.445874300581846
88,-11.445874300581846
89,-11.445874300581846
90,-11.445874300581846
91,-11.445874300581846
92,-11.445874300581846
93,-11.445874300581846
94,-11.445874300581846
95,-11.445874300581846
96,-11.445874300581846
97,-11.445874300581846
98,-11.445874300581846
99,-11.445874300581846
100,-11.445874300581846
101,-11.445874300581846
102,-11.445874300581846
103,-11.445874300581846
104,-11.445874300581846
105,-11.445874300581846
106,-11.445874300581846
107,-11.445874300581846
108,-11.445874300581846
109,-11.445874300581846
110,-11.445874300581846
111,-11.445874300581846
112,-11.445874300581846
113,-11.445874300581846
114,-11.445874300581846
115,-11.445874300581846
116,-11.445874300581846
117,-11.445874300581846
118,-11.445874300581846
119,-11.445874300581846
120,-11.445874300581846
121,-11.445874300581846
122,-11.445874300581846
123,-11.445874300581846
124,-11.445874300581846
125,-11.445874300581846
126,-11.445874300581846
127,-12.857319206235317
128,-12.857319206235317
129,-12.857319206235317
130,-12.857319206235317
131,-12.857319206235317
132,-12.857319206235317
133,-12.857319206235317
134,-12.857319206235317
135,-12.857319206235317
136,-12.857319206235317
137,-12.857319206235317
138,-12.857319206235317
139,-12.857319206235317
140,-12.857319206235317
141,-12.857319206235317
142,-12.857319206235317
143,-12.857319206235317
144,-12.857319206235317
145,-12.857319206235317
146,-12.857319206235317
147,-12.857319206235317
148,-12.857319206235317
149,-12.857319206235317
150,-12.857319206235317
151,-12.857319206235317
152,-12.857319206235317
153,-12.857319206235317
154,-12.857319206235317
155,-12.857319206235317
156,-12.857319206235317
157,-12.857319206235317
158,-12.857319206235317
159,-12.857319206235317
160,-12.857319206235317
161,-12.857319206235317
162,-12.857319206235317
163,-12.857319206235317
164,-12.857319206235317
165,-12.857319206235317
166,-12.857319206235317
167,-12.857319206235317
168,-12.857319206235317
169,-12.857319206235317
170,-12.857319206235317
171,-12.857319206235317
172,-12.857319206235317
173,-12.857319206235317
174,-12.857319206235317
175,-12.857319206235317
176,-12.857319206235317
177,-12.857319206235317
178,-12.857319206235317
179,-12.857319206235317
180,-12.857319206235317
181,-12.857319206235317
182,-12.857319206235317
183,-12.857319206235317
184,-12.857319206235317
185,-12.857319206235317
186,-12.857319206235317
187,-12.857319206235317
188,-12.857319206235317
189,-12.857319206235317
190,-12.857319206235317
191,-12.857319206235317
192,-12.857319206235317
193,-11.137437825199195
194,-11.137437825199195
195,-11.137437825199195
196,-11.137437825199195
197,-11.137437825199195
198,-11.137437825199195
199,-11.137437825199195
200,-11.137437825199195
201,-11.137437825199195
202,-11.137437825199195
203,-11.137437825199195
204,-11.137437825199195
205,-11.137437825199195
206,-11.137437825199195
207,-11.137437825199195
208,-11.137437825199195
209,-11.137437825199195
210,-11.137437825199195
211,-11.137437825199195
212,-11.137437825199195
213,-11.137437825199195
214,-11.137437825199195
215,-11.137437825199195
216,-11.137437825199195
217,-11.137437825199195
218,-11.137437825199195
219,-11.137437825199195
220,-11.137437825199195
221,-11.137437825199195
222,-11.137437825199195
223,-11.137437825199195
224,-11.137437825199195
225,-11.137437825199195
226,-11.137437825199195
227,-11.137437825199195
228,-11.137437825199195
229,-11.137437825199195
230,-11.137437825199195
231,-11.137437825199195
232,-11.137437825199195
233,-11.137437825199195
234,-11.137437825199195
235,-11.137437825199195
236,-11.137437825199195
237,-11.137437825199195
238,-11.137437825199195
239,-11.137437825199195
240,-11.137437825199195
241,-11.137437825199195
242,-11.137437825199195
243,-11.137437825199195
244,-11.137437825199195
245,-11.137437825199195
246,-11.137437825199195
247,-11.137437825199195
248,-11.137437825199195
249,-11.137437825199195
250,-11.137437825199195
251,-11.137437825199195
252,-11.137437825199195
253,-11.137437825199195
254,-11.137437825199195
255,-11.137437825199195
256,-11.137437825199195
257,-12.914270737942369
258,-12.914270737942369
259,-12.914270737942369
260,-12.914270737942369
261,-12.914270737942369
262,-12.914270737942369
263,-12.914270737942369
264,-12.914270737942369
265,-12.914270737942369
266,-12.914270737942369
267,-12.914270737942369
268,-12.914270737942369
269,-12.914270737942369
270,-12.914270737942369
271,-12.914270737942369
272,-12.914270737942369
273,-12.914270737942369
274,-12.914270737942369
275,-12.914270737942369
276,-12.914270737942369
277,-12.914270737942369
