,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,3.143504235113301
73,3.143504235113301
74,3.143504235113301
75,3.143504235113301
76,3.143504235113301
77,3.143504235113301
78,3.143504235113301
79,3.143504235113301
80,3.143504235113301
81,3.143504235113301
82,3.143504235113301
83,3.143504235113301
84,3.143504235113301
85,3.143504235113301
86,3.143504235113301
87,3.143504235113301
88,3.143504235113301
89,3.143504235113301
90,3.143504235113301
91,3.143504235113301
92,3.143504235113301
93,3.143504235113301
94,3.143504235113301
95,3.143504235113301
96,3.143504235113301
97,3.143504235113301
98,3.143504235113301
99,3.143504235113301
100,3.143504235113301
101,3.143504235113301
102,3.143504235113301
103,3.143504235113301
104,3.143504235113301
105,3.143504235113301
106,3.143504235113301
107,3.143504235113301
108,3.143504235113301
109,3.143504235113301
110,3.143504235113301
111,3.143504235113301
112,3.143504235113301
113,3.143504235113301
114,3.143504235113301
115,3.143504235113301
116,3.143504235113301
117,3.143504235113301
118,3.143504235113301
119,3.143504235113301
120,3.143504235113301
121,3.143504235113301
122,3.143504235113301
123,3.143504235113301
124,3.143504235113301
125,3.143504235113301
126,3.143504235113301
127,3.143504235113301
128,3.143504235113301
129,3.143504235113301
130,3.143504235113301
131,3.143504235113301
132,3.143504235113301
133,3.143504235113301
134,3.143504235113301
135,3.143504235113301
136,3.299008643230568
137,3.299008643230568
138,3.299008643230568
139,3.299008643230568
140,3.299008643230568
141,3.299008643230568
142,3.299008643230568
143,3.299008643230568
144,3.299008643230568
145,3.299008643230568
146,3.299008643230568
147,3.299008643230568
148,3.299008643230568
149,3.299008643230568
150,3.299008643230568
151,3.299008643230568
152,3.299008643230568
153,3.299008643230568
154,3.299008643230568
155,3.299008643230568
156,3.299008643230568
157,3.299008643230568
158,3.299008643230568
159,3.299008643230568
160,3.299008643230568
161,3.299008643230568
162,3.299008643230568
163,3.299008643230568
164,3.299008643230568
165,3.299008643230568
166,3.299008643230568
167,3.299008643230568
168,3.299008643230568
169,3.299008643230568
170,3.299008643230568
171,3.299008643230568
172,3.299008643230568
173,3.299008643230568
174,3.299008643230568
175,3.299008643230568
176,3.299008643230568
177,3.299008643230568
178,3.299008643230568
179,3.299008643230568
180,3.299008643230568
181,3.299008643230568
182,3.299008643230568
183,3.299008643230568
184,3.299008643230568
185,3.299008643230568
186,3.299008643230568
187,3.299008643230568
188,3.299008643230568
189,3.299008643230568
190,3.299008643230568
191,3.299008643230568
192,3.299008643230568
193,3.299008643230568
194,3.299008643230568
195,3.299008643230568
196,3.299008643230568
197,3.299008643230568
198,3.299008643230568
199,2.5150896588726543
200,2.5150896588726543
201,2.5150896588726543
202,2.5150896588726543
203,2.5150896588726543
204,2.5150896588726543
205,2.5150896588726543
206,2.5150896588726543
207,2.5150896588726543
208,2.5150896588726543
209,2.5150896588726543
210,2.5150896588726543
211,2.5150896588726543
212,2.5150896588726543
213,2.5150896588726543
214,2.5150896588726543
215,2.5150896588726543
216,2.5150896588726543
217,2.5150896588726543
218,2.5150896588726543
219,2.5150896588726543
220,2.5150896588726543
221,2.5150896588726543
222,2.5150896588726543
223,2.5150896588726543
224,2.5150896588726543
225,2.5150896588726543
226,2.5150896588726543
227,2.5150896588726543
228,2.5150896588726543
229,2.5150896588726543
230,2.5150896588726543
231,2.5150896588726543
232,2.5150896588726543
233,2.5150896588726543
234,2.5150896588726543
235,2.5150896588726543
236,2.5150896588726543
237,2.5150896588726543
238,2.5150896588726543
239,2.5150896588726543
240,2.5150896588726543
241,2.5150896588726543
242,2.5150896588726543
243,2.5150896588726543
244,2.5150896588726543
245,2.5150896588726543
246,2.5150896588726543
247,2.5150896588726543
248,2.5150896588726543
249,2.5150896588726543
250,2.5150896588726543
251,2.5150896588726543
252,2.5150896588726543
253,2.5150896588726543
254,2.5150896588726543
255,2.5150896588726543
256,2.5150896588726543
257,2.5150896588726543
258,2.5150896588726543
259,2.5150896588726543
260,2.5150896588726543
261,2.5150896588726543
262,2.5150896588726543
263,2.5150896588726543
264,2.5150896588726543
265,4.4204888488988505
266,4.4204888488988505
267,4.4204888488988505
268,4.4204888488988505
269,4.4204888488988505
270,4.4204888488988505
271,4.4204888488988505
272,4.4204888488988505
273,4.4204888488988505
274,4.4204888488988505
275,4.4204888488988505
276,4.4204888488988505
277,4.4204888488988505
278,4.4204888488988505
279,4.4204888488988505
280,4.4204888488988505
281,4.4204888488988505
282,4.4204888488988505
283,4.4204888488988505
284,4.4204888488988505
285,4.4204888488988505
286,4.4204888488988505
287,4.4204888488988505
288,4.4204888488988505
289,4.4204888488988505
290,4.4204888488988505
291,4.4204888488988505
292,4.4204888488988505
293,4.4204888488988505
294,4.4204888488988505
295,4.4204888488988505
296,4.4204888488988505
297,4.4204888488988505
298,4.4204888488988505
299,4.4204888488988505
300,4.4204888488988505
301,4.4204888488988505
302,4.4204888488988505
303,4.4204888488988505
304,4.4204888488988505
305,4.4204888488988505
306,4.4204888488988505
307,4.4204888488988505
308,4.4204888488988505
309,4.4204888488988505
310,4.4204888488988505
311,4.4204888488988505
312,4.4204888488988505
313,4.4204888488988505
314,4.4204888488988505
315,4.4204888488988505
316,4.4204888488988505
317,4.4204888488988505
318,4.4204888488988505
319,4.4204888488988505
320,4.4204888488988505
321,4.4204888488988505
322,4.4204888488988505
323,4.4204888488988505
324,4.4204888488988505
325,4.4204888488988505
326,4.4204888488988505
327,4.4204888488988505
328,4.4204888488988505
329,2.9922744157508405
330,2.9922744157508405
331,2.9922744157508405
332,2.9922744157508405
333,2.9922744157508405
334,2.9922744157508405
335,2.9922744157508405
336,2.9922744157508405
337,2.9922744157508405
338,2.9922744157508405
339,2.9922744157508405
340,2.9922744157508405
341,2.9922744157508405
342,2.9922744157508405
343,2.9922744157508405
344,2.9922744157508405
345,2.9922744157508405
346,2.9922744157508405
347,2.9922744157508405
348,2.9922744157508405
349,2.9922744157508405
350,2.9922744157508405
351,2.9922744157508405
352,2.9922744157508405
353,2.9922744157508405
354,2.9922744157508405
355,2.9922744157508405
