,C:\Users\kiddb\Documents\GitHub\WHT-Project\data\segments\0flexion_ex_001.csv
0,[  50  299  548  783 1042 1263 1318 1370]
1,"[   2    8   12   17   20   22   27   52   73   75  168  403  654  895
 1164 1288 1296 1330 1356 1359 1361 1369 1374 1378 1382 1389 1394 1396]"
