,C:\Users\kiddb\Documents\GitHub\WHT-Project\data\segments\1l_sts_jump_001.csv
0,"[  17  109  209  268  392  450  534  636  747  802  923  986 1145 1213
 1270 1331 1397 1528 1587 1650 1718 1782 1834]"
1,"[  12   45   79   88  147  181  213  224  291  300  364  396  438  474
  506  538  610  659  717  751  790  795  831  864  898  950 1074 1107
 1117 1151 1160 1204 1241 1276 1288 1379 1388 1413 1456 1486 1535 1585
 1620 1657 1668 1699 1739 1776 1784 1845 1886]"
