,C:\Users\kiddb\Documents\GitHub\WHT-Project\data\segments\1nd_jogging_001.csv
0,"[  53  157  239  321  406  489  566  646  725  806  884  964 1045 1129
 1216 1296 1376 1458 1538 1620 1702 1786 1868 1959 2037 2117 2200 2282
 2364 2445 2526 2607 2692 2780 2859 2944 3028 3108 3190 3272 3356 3441
 3525 3605 3686 3767 3849 3932 4014 4099 4186 4270 4353 4435 4518 4602
 4684 4767 4849 4935 5018 5100 5182 5264 5347 5431 5515 5603 5688 5770
 5853 5936 6017 6100 6182 6265 6350 6430 6512 6594 6676 6756 6839 6923
 7007 7092 7174 7256 7340 7420 7501 7585 7672 7756 7839 7921 8002 8094
 8175]"
1,"[   3  126  209  291  374  458  539  618  697  776  856  935 1014 1058
 1096 1185 1268 1346 1426 1510 1590 1672 1756 1842 1871 1929 2009 2089
 2171 2253 2336 2416 2497 2533 2540 2579 2661 2749 2832 2915 2996 3078
 3160 3242 3326 3411 3494 3577 3657 3738 3819 3901 3984 4068 4155 4243
 4324 4405 4489 4572 4654 4736 4821 4909 4938 4990 5071 5152 5234 5317
 5400 5484 5571 5661 5743 5825 5906 5987 6070 6151 6235 6320 6405 6485
 6567 6647 6728 6810 6855 6892 6977 7064 7147 7228 7310 7392 7473 7553
 7640 7726 7812 7892 7972 8060 8107 8116 8142 8167 8196]"
