,C:\Users\kiddb\Documents\GitHub\WHT-Project\data\segments\2_adduction_001.csv
0,[]
1,"[  10   23   30   49   90  260  272  300  315  521  729  756  765  779
  806  990 1003 1011 1022 1033 1041 1049 1064 1246 1259 1267 1291 1315
 1349 1356 1367 1382 1391]"
