,C:\Users\kiddb\Documents\GitHub\WHT-Project\data\segments\2flexion_ex_001.csv
0,"[   6   65  149  250  329  386  464  571  623  747  813  881  964 1050
 1144 1232 1286 1357]"
1,"[   9   95  102  118  128  175  184  193  204  238  274  280  308  317
  351  355  406  418  432  444  481  520  555  579  598  635  666  687
  740  755  771  780  822  835  872  901  914  927  955 1028 1037 1052
 1124 1167 1176 1186 1202 1212 1226 1273 1284 1307 1325 1331 1341 1353
 1361]"
