,C:\Users\kiddb\Documents\GitHub\WHT-Project\data\segments\1_adduction_001.csv
0,[]
1,"[   7   24   55  157  287  293  389  491  507  614  769  891 1020 1026
 1032 1047 1052 1161 1254 1293 1315 1322 1365 1383 1394]"
