,C:\Users\kiddb\Documents\GitHub\WHT-Project\data\segments\2ing_toe_in_001.csv
0,[]
1,"[   5   24  131  149  283  300  308  600  606  618  767  777  813  927
 1088 1108 1229 1246 1412 1428 1539 1572 1979 2016 2036 2107 2351 2360
 2371 2404 2547 2677 2686 2701 2860 2994 3032 3162 3169 3188 3480 3487
 3680 3831 3839 3960 3971 3990 4280 4422 4450 4617 4741 4763 4779 4857
 4898 4931 4942 4967 4999 5102 5117 5130 5268 5274 5538 5714 5860 5989
 5996 6167 6269 6286 6317 6640 6794 7091 7097 7233 7401 7411 7420 7588
 7674 7700 7713 7811 7914 7920 7929 8395 8404 8481 8488 8532 8552 8561
 8580 8590 8597 8647 8654 8694 8711 8722 8744 8775 8782 8789 8803 8821
 8832 8855]"
