,C:\Users\kiddb\Documents\GitHub\WHT-Project\data\segments\2_leg_swing_001.csv
0,"[   3   75  187  237  314  368  496  552  613  687  748  830  890  948
 1003 1189 1286 1367 1547 1610 1671 1723 1794]"
1,"[   2   12   29   94  116  228  243  362  378  386  398  410  550  561
  647  680  710  722  727  745  756  854  868  894  997 1010 1020 1034
 1073 1227 1321 1339 1354 1362 1371 1380 1389 1475 1555 1571 1595 1625
 1644 1657 1665 1675 1687 1733 1751 1761 1770 1783]"
