,C:\Users\kiddb\Documents\GitHub\WHT-Project\data\segments\g_swing_001.csv
0,[]
1,"[  13   21   46   63   72   91  101  133  140  148  155  162  170  177
  197  210  220  231  246  255  265  282  289  297  326  348  363  371
  381  390  449  466  477  488  496  518  534  544  550  563  570  578
  622  640  647  657  665  690  708  753  760  775  782  791  801  816
  828  840  850  868  885  928  954  963  976  989 1015 1023 1045 1057
 1066 1073 1109 1134 1142 1149 1158 1169 1186 1260 1267 1280 1336 1359
 1368 1392 1402 1414 1435 1441 1453 1502 1512 1529 1594 1616 1728 1743
 1862 1878 1886 1898 1910 2050 2061 2147 2180 2210 2222 2227 2245 2256
 2354 2368 2394 2497 2510 2520 2534 2573 2727 2821 2839 2854 2862 2871
 2880 2889 2975 3055 3071 3095 3125 3144 3157 3165 3175 3187 3233 3251
 3261 3270 3283 3303 3318 3355 3364 3375 3387 3399 3418 3432 3449 3456
 3505 3515 3534 3560 3568 3586 3593 3611 3630 3647]"
