,C:\Users\kiddb\Documents\GitHub\WHT-Project\data\segments\2ng_toe_out_001.csv
0,"[  78  144  289  462  597  699  816  883 1047 1193 1313 1482 1617 1768
 1904 2063 2195 2247 2384 2537 2681 2823 2966 3111 3269 3387 3514 3591
 3885 4031 4128 4311 4465 4610 4756 4936 5075 5229 5383 5522 5664 5801
 5955 6070 6181 6244 6435 6572 6692 6810 6984 7134 7258 7471 7595 7908
 8048 8189 8245 8302 8362]"
1,"[  42   96  108  139  150  285  300  309  315  321  446  454  463  591
  601  722  739  879  888 1042 1188 1311 1317 1479 1611 1763 1773 1898
 1914 2022 2029 2033 2042 2050 2057 2068 2152 2165 2197 2204 2211 2252
 2378 2387 2531 2539 2665 2675 2684 2827 2970 3114 3258 3272 3381 3400
 3408 3416 3441 3580 3585 3598 3883 4029 4126 4169 4301 4306 4313 4324
 4459 4472 4599 4605 4619 4717 4728 4750 4762 4770 4846 4929 4941 5080
 5223 5231 5366 5375 5387 5516 5526 5656 5668 5805 5935 5948 5958 6082
 6090 6098 6114 6239 6260 6426 6430 6565 6580 6690 6723 6808 6848 6981
 6992 7120 7128 7257 7262 7275 7279 7291 7399 7443 7454 7483 7556 7598
 7900 7909 8050 8144 8154 8242 8258 8275 8283 8295 8309 8319 8336 8357
 8368 8378]"
