,C:\Users\kiddb\Documents\GitHub\WHT-Project\data\segments\1nd_walking_001.csv
0,"[   9  130  267  407  556  688  823  961 1098 1238 1372 1519 1657 1790
 1920 2046 2174 2300 2441 2592 2728 2856 2988 3118 3250 3382 3528 3679
 3815 3948 4081 4216 4351 4489 4639 4783 4914 5046 5174 5295 5432 5568
 5719 5857 5987 6125 6258 6391 6521 6669 6831 6965 7099 7238 7374 7511
 7651 7812 7961]"
1,"[  31   85  124  166  175  228  281  361  400  513  579  649  683  780
  817  920  955 1057 1091 1193 1230 1270 1328 1365 1469 1557 1621 1675
 1750 1783 1879 1954 2008 2061 2137 2189 2262 2394 2436 2452 2546 2691
 2819 2852 2948 3078 3112 3210 3243 3283 3339 3415 3482 3566 3638 3772
 3808 3854 3907 3985 4040 4099 4176 4231 4256 4308 4343 4365 4443 4529
 4595 4741 4775 4798 4873 5005 5137 5170 5264 5339 5390 5448 5462 5526
 5669 5816 5851 5947 6081 6148 6159 6217 6351 6484 6620 6660 6786 6926
 7061 7094 7197 7232 7332 7367 7469 7548 7606 7689 7758 7851 7917 7953
 7976]"
