,C:\Users\kiddb\Documents\GitHub\WHT-Project\data\segments\1tatic_pose_001.csv
0,[  5 101 212 319 406 463 530]
1,"[  9  16  30  39  48  69  78  86  94 105 112 120 125 132 152 183 191 196
 202 207 217 222 227 239 247 256 267 286 299 322 332 348 360 368 383 390
 395 410 416 423 431 444 452 469 480 485 496 506 512 526 540]"
