,C:\Users\kiddb\Documents\GitHub\WHT-Project\data\segments\1_leg_swing_001.csv
0,[]
1,"[  91  167  251  328  365  415  475  563  640  665  693  729  806  904
  986 1019 1060 1105 1171 1258 1315 1383 1405 1499 1591 1636 1671 1683
 1722 1746 1795]"
